Pref.No,Station Name,City,Acco.
128,Credit Suisse - Equity Research,Mumbai,No
129,Credit Suisse - Finance Change,Pune,No
130,Credit Suisse - Global Market Risk Management,Mumbai,No
131,Credit Suisse - Group Operations,Pune,No
132,Credit Suisse - Non-Financial Risk Management,Mumbai,No
133,Credit Suisse - Quantitative Analysis & Technology,Mumbai,No
134,"Credit Suisse - Risk & Finance Data Analytics, Reporting",Mumbai,No
135,"Credit Suisse - Risk & Finance Data Analytics, Reporting",Pune,No
136,Credit Suisse- Investment Banking and Capital Markets,Mumbai (Worli),No
137,DBOI - Business Finance,Mumbai,No
138,DBOI - Counterparty Credit Ratings,Mumbai,No
139,DBOI - Credit Risk Data Unit (CRDU),Pune,No
140,DBOI - Enterprise Risk Management,Mumbai,No
141,DBOI - ERM - Automation,Mumbai,No
142,DBOI - Finance Change,Mumbai/Pune,No
143,DBOI - Global Valuations Group,Mumbai,No
144,DBOI - Market Risk Analysis & Control,Mumbai,No
145,Delightful Gourmet Pvt Ltd (Licious),Bangalore,No
146,Delightful Gourmet Pvt Ltd (Licious) - Non Tech,Bangalore,No
147,Dell R&D,Bangalore,No
148,Dell Technologies,Pune,No
149,Development Consultants  Pvt. Ltd. (DCPL),Mumbai,No
150,DevRev Cloud India Pvt. Ltd.,Bangalore,No
151,Dezerv Investments Pvt. Ltd,Mumbai,No
152,DigiCert Security India Pvt Ltd,Bangalore,No
153,Do it Yourself Academy,Chennai,No
154,Dunzo Digital Pvt. Ltd.,Bangalore,No
155,Dvara E Registry Pvt. Ltd.,Secunderabad,No
156,Eightfold AI India Pvt Ltd,Noida,No
157,Eltropy,Bangalore,No
158,Ericsson Global India Pvt. Ltd.,Chennai,No
159,Everwell Health Solution,Bangalore,No
160,Express Stores - Business Analytics,Gurgaon,No
161,Express Stores - Tech,Gurgaon,No
162,Express stores – Nontech,Gurgaon,No
163,Fischer Jordan,New York,No
164,Flipkart (Software Development),Bangalore,No
165,GenY medium,Hyderabad,No
166,Glocol Networks (IOT and AI),California,No
167,Goldman Sachs - Investment Banking,Bangalore,No
168,Goodera,Bangalore,No
169,Goodera (NextGen PMS Pvt. Ltd)- Non IT,Bangalore,No
170,Grasim Industries Ltd.,Nagda,No
171,Grasim Polyfiber,Harihar,No
172,Groww - Business Analyst,Bangalore,No
173,Groww - Product,Bangalore,No
174,Groww - Software Development,Bangalore,No
175,HDFC ERGO General Insurance Co Ltd,Mumbai,No
176,HERE Technologies,Bangalore,No
177,HERE Technologies India Pvt. Ltd,Mumbai,No
178,Hertztech Solutions Pvt Ltd (HTS) - Engg. content dev.,Chennai,No
179,Hertztech Solutions Pvt Ltd (HTS) - Marketing services in Health care,Chennai,No
180,"Hindalco Innovation Centre - Semifab, Taloja",Mumbai,No
181,Hindustan Unilever Research Centre,Bangalore,No
182,IMarc Services,Noida,No
183,InCore Semiconductors Pvt. Ltd. - Microsemi,Bangalore,No
184,InCore Semiconductors Pvt. Ltd. - Microsemi - Micro Processor Design,Bangalore,No
185,Indian Institute Of Remote Sensing,Dehradun,No
186,Indian School of Business,Hyderabad,No
187,Indira Gandhi Centre for Atomic Research,Kalpakkam,No
188,INDmoney,Gurgaon,No
189,Infinera,Bangalore,No
190,InMobi - Software Development,Bangalore,No
191,InMobi- Business Sales,Bangalore,No
192,Insights Alpha,Delhi,No
193,JPMC - CIB R&A Wholesale Payments,Mumbai,No
194,JPMC - Focused Analytics Solutions Team,Bangalore,No
195,JPMC - GR&C AM Investment Risk & Market Risk Coverage,Bangalore,No
196,JPMC - GR&C CCB Home Lending,Bangalore,No
197,JPMC - GR&C CCB Home Lending,Mumbai,No
198,JPMC - GR&C CCB Reporty Strategy CoE,Bangalore,No
199,JPMC - GR&C CCB Risk Strategy & Execution,Mumbai,No
200,JPMC - GR&C Corp Risk - Planning & Analysis,Mumbai,No
201,JPMC - GR&C CTC Market Risk Analyst,Mumbai,No
202,JPMC - GR&C WCS – Strategy Analytics – Data Science,Mumbai,No
203,JPMC - Software Engineering Program,Hyderabad,No
204,JPMC GR&C Auto Risk Strategy Analytics,Mumbai,No
205,JPMC- CIB R&A WP - Global Trade & Loan Products,Mumbai,No
206,JPMC- GR&C MRGR CCT - Qualitative Modeling,Bangalore,No
207,JPMS (Finance) CIB R&A  Markets - Sales and Structuring,Mumbai,No
208,JPMS (Finance) GR&C Market Risk,Mumbai,No
209,JPMS CIB  R&A Banking (CRG) - Banking,Mumbai,No
210,JPMS CIB R&A Banking (CRG) - Fintech,Mumbai,No
211,JPMS CIB R&A Data Science,Mumbai,No
212,JPMS CIB R&A Data Science - Fintech,Mumbai,No
213,JPMS CIB R&A Global Research,Mumbai,No
214,JPMS CIB R&A Markets – Trading,Mumbai,No
215,JPMS GR&C AM Risk Analytics – Market Risk,Bangalore,No
216,JPMS GR&C Auto Risk Strategy Analytics,Bangalore,No
217,JPMS GR&C Cards Risk Strategy Analytics,Bangalore,No
218,JPMS GR&C CCB Chase 360 Strategy,Bangalore,No
219,JPMS GR&C Corporate Risk - Risk Project Solutions,Bangalore,No
220,JPMS GR&C Corporate Risk – Credit Risk Controller,Bangalore,No
221,JPMS GR&C Corporate Risk – Credit Risk Middle Office,Mumbai,No
222,JPMS GR&C Corporate Risk – Firm wide Risk Reporting,Bangalore,No
223,JPMS GR&C Credit Forecasting Strategy,Bangalore,No
224,JPMS GR&C CTC Credit Risk Analyst,Mumbai,No
225,JPMS GR&C Quantitative Research – Fintech,Mumbai,No
226,JPMS GR&C WCS - Credit Portfolio Analytics,Mumbai,No
227,JPMS GR&C WCS –Process Strategy,Mumbai,No
228,JPMS Software Engineering Program,Bangalore,No
229,JPMS Software Engineering Program,Mumbai,No
230,Juniper Networks,Bangalore,No
231,Kickdrum Technologies India Pvt. Ltd.,Bangalore,No
232,KitaBeli Pte Ltd,Jakarta,No
233,Komprise India Pvt. Ltd.,Bangalore,No
234,KPMG,Gurgaon,No
235,Kredx,Bangalore,No
236,Krishi Network (Cultino Agrotech Pvt. Ltd.),Gurgaon,No
237,Leapus Technologies Pvt. Ltd- Business Development,Bangalore,No
238,Leapus Technologies Pvt. Ltd- Mathematical research,Bangalore,No
239,Leapus Technologies Pvt. Ltd- Tech,Bangalore,No
240,Linarc India Pvt. Ltd.,Chennai,No
241,MAF Technologies Pvt. Ltd. - Non Tech,Bangalore,No
242,MAF Technologies Pvt. Ltd. - Tech,Bangalore,No
243,MapmyIndia (CE Info Systems Pvt Ltd),New delhi,No
244,MBB Labs Pvt. Ltd.,Bangalore,No
245,Melio - Tech,Bangalore,No
246,Melio- Non Tech,Bangalore,No
247,Morgan Stanley Advantage Services,Mumbai,No
248,Morning Star - Client Services and Implementation,Mumbai,No
249,Morning Star - Index Management and Analytics,Mumbai,No
250,Morning Star - Index New Product Development,Mumbai,No
251,MVDB Tech Services (OPC) Pvt. Ltd,Pilani,No
252,National Instruments Systems (India) Pvt. Ltd.,Bangalore,No
253,Nomura - Change Management Team,Mumbai,No
254,Nomura - FinTech,Mumbai,No
255,Nomura - Wholesale Strategy,Mumbai,No
256,Nomura Global Markets,Mumbai,No
257,Nomura Global Risk,Mumbai,No
258,Nouveau Labs Pvt Ltd,Bangalore,No
259,nurture.farm (A Subisidiary of UPL Ltd.),Bangalore,No
260,Nvidia Graphics - Hardware,Bangalore,No
261,Nvidia Graphics -Software,Bangalore,No
262,OfBusiness,Gurgaon,No
263,OroPocket,Delhi,No
264,Oyla Inc,California,No
265,Parkinnov Funtech Pvt Ltd,Bangalore,No
266,PAYPAL,Bangalore,No
267,PayPal - Analytics,Chennai,No
268,Petasense - Services & App Development,Bangalore,No
269,Piramal Group,Mumbai,No
270,Pluss Advanced Technologies Pvt. Ltd.,Gurgaon,No
271,Powerhouse91 (Financial & Business Analyst),Gurgaon,No
272,PricewaterhouseCoopers (PWC),Gurgaon,No
273,Process Nine Technologies Pvt  Ltd,Gurgaon,No
274,ProteanTecs,Bangalore,No
275,"Psi Phi Global Solutions Pvt. Ltd., (OkCredit)",Bangalore,No
276,PwC MC-Analytics,Mumbai,No
277,Quinn Care Pvt. Ltd,Surat,No
278,Qure.ai,Mumbai,No
279,Qzense labs Pvt. Ltd.,Bangalore,No
280,RDandX Network LLP,Mumbai,No
281,ReferralYogi Technologies Pvt. Ltd.,Chennai,No
282,Resolvity Inc.,Texas,No
283,Rivigo Tech,Gurgaon,No
284,Rupeek Fintech,Bangalore,No
285,Rupeek Fintech (Non-Tech),Bangalore,No
286,Samsung R & D Institute,Bangalore,No
287,Samsung Semiconductor India R&D Center-Hardware,Bangalore,No
288,Samsung Semiconductor India Research -Software,Bangalore,No
289,Sankhya Sutra Labs,Bangalore,No
290,Saras Analytics - Nontech,Hyderabad,No
291,Saras Analytics - Tech,Hyderabad,No
292,Saveo Healthtech Pvt. Ltd,Bangalore,No
293,Saveo Healthtech Pvt. Ltd - Non Tech,Bangalore,No
294,SCIENAPTIC SYSTEMS PRIVATE  LIMITED,Bangalore,No
295,ShortHills Tech Pvt. Ltd,Gurgaon,No
296,Siemens PLM Software,Pune,No
