Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?
4114,"BuroHappold Engineering, Mumbai",Mumbai,Infrastructure,Unavailable,Unavailable,Unavailable,No
3742,Linarc India Pvt. Ltd.,Chennai,Infrastructure,A7,20000,0,No
3391,National Council for Cement and Building Materials,Ballabgarh,Infrastructure,"A1 , A2 , A4 , A8 , B2",0,0,No
616,"Structural Engineering Research Centre, Chennai",Chennai,Infrastructure,Unavailable,Unavailable,Unavailable,No
196,Techture Structures Pvt Ltd.,Nagpur,Infrastructure,A7,25000,0,No
665,Worley Parsons India,Mumbai,Infrastructure,"A7 , C6",0,0,No
4854,Abhyaas Edu Technologies Pvt. Ltd.,Hyderabad,IT,"A7 , Any",7000,0,No
785,Access Livelihoods Consulting India (Formerly Chitika),Hyderabad,IT,A7,15000,0,No
3253,Aditya Birla Group,Bangalore,IT,Unavailable,Unavailable,Unavailable,No
762,"Adobe Systems, Bangalore",Bangalore,IT,Unavailable,Unavailable,Unavailable,No
2767,AFour Technologies Pvt. Ltd.,Pune,IT,Any,30000,0,No
335,Altair Engineering India Pvt. Ltd.,Bangalore,IT,Unavailable,Unavailable,Unavailable,No
4035,Amazon - Machine Learning,Bangalore,IT,AnyA7,60000,0,No
4036,Amazon,Hyderabad,IT,Unavailable,Unavailable,Unavailable,No
339,Amazon Development Center,Bangalore,IT,"A7 , AnyA7",60000,0,No
338,Amazon Development Center,Chennai,IT,"A7 , C6",60000,0,No
337,Amazon Development Center,Hyderabad,IT,"A7 , C6 , AnyA7",60000,0,No
4826,Amazon Professional Services,Delhi,IT,"A7 , C6",60000,0,No
3255,Apple India Pvt Limited,Hyderabad,IT,"A7 , C6 , AnyA7",45000,0,No
4849,Asanify Technologies Pvt. Ltd.,Kolkata,IT,A7,25000,0,No
4803,Asteria Aerospace Pvt. Ltd.,Bangalore,IT,"A3 , A7 , A8 , AA",18000,0,No
3539,Avaamo,Bangalore,IT,A7,75000,75000,No
364,Blue Jeans Network India Pvt. Ltd.,Bangalore,IT,A7,50000,0,No
488,Blue Yonder (JDA),Bangalore,IT,Any,25000,0,No
489,Blue Yonder (JDA),Hyderabad,IT,"A3 , A7 , A8 , AA , Any",25000,0,No
3352,Bosch Research and Technology center,Bangalore,IT,A7,30000,0,No
4897,Bridge Your Network Inc,Bangalore,IT,A7,700,0,No
4869,Calypso Technology India Pvt Ltd,Mumbai,IT,A7,21000,0,No
